"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.onlinepokerbonuses.com/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","143","0,204","",""
"https://www.onlinepokerbonuses.com/reviews/betonline-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","78","0,374","",""
"https://www.onlinepokerbonuses.com/responsible-gambling/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","97","0,425","",""
"https://www.onlinepokerbonuses.com/news/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","131","0,416","",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/polyfills-78c92fac7aa8fdd8.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,522","",""
"https://www.onlinepokerbonuses.com/bonus-types/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","127","0,206","",""
"https://www.onlinepokerbonuses.com/reviews/black-chip-poker/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","76","0,214","",""
"https://www.onlinepokerbonuses.com/canada/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","119","0,284","",""
"https://www.onlinepokerbonuses.com/news/crypto-network-fees-poker-deposits-2026/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","21","0,746","",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/webpack-cb86a99cd2f791d1.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,219","",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/main-app-f73cdb3bce740b12.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,363","",""
"https://www.onlinepokerbonuses.com/_next/static/chunks/231-f35b59634dca96cb.js?dpl=dpl_EsFMKXP3FuPDrcwH9tHgHFkMmYY9","application/javascript; charset=utf-8","200","OK","Indexable","","0","0,286","",""
